Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
1,DM0FG,439.3625,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
2,DB0RB,438.6750,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
3,DB0NP,439.1500,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
4,DB0NP,439.1500,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
5,DB0ZH,145.6250,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
6,DB0HD,438.3500,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
7,DB0MA,439.0250,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,
8,DB0UK,145.6750,-,0.0000,TSQL,100.0,100.0,023,NN,FM,12.5,,
9,DB0UK,145.6750,-,0.0000,TSQL,100.0,100.0,023,NN,FM,12.5,,
10,DB0UX,438.9500,-,0.0000,,100.0,100.0,023,NN,FM,12.5,,